SampleID	observed_otus	faith_pd	shannon	pielou_e	ExpShannon	Description
P92-D29	144	27.11042681	4.827599775	0.673312451	124.9107866	P92_D29_Juvenile_Swab
P93-D29	100	20.19821107	4.577626731	0.689001477	97.2832407	P93_D29_Juvenile_Swab
Anaxyrus.boreas.NA.BTP.24Skin	275	44.46001271	5.195292163	0.641133856	180.4208473	NA
Anaxyrus.boreas.NA.BTP.26Skin	308	54.39885617	5.697085878	0.689153621	297.9977326	NA
JGK142.CO.Boreal.Toad.South.Cottonwood.Adult	261	53.36131535	4.723507076	0.588385947	112.5623259	NA
JGK143.CO.Boreal.Toad.South.Cottonwood.Adult	364	64.18992441	6.415073038	0.754023024	610.9853845	NA
JGK144.CO.Boreal.Toad.South.Cottonwood.Adult	257	50.68699649	5.787562002	0.722936976	326.2167384	NA
JGK145.CO.Boreal.Toad.South.Cottonwood.Adult	230	47.33012774	5.034618477	0.641721351	153.6409639	NA
JGK146.CO.Boreal.Toad.South.Cottonwood.Adult	235	48.97407567	4.236281836	0.537836948	69.15026125	NA
JGK147.CO.Boreal.Toad.South.Cottonwood.Adult	349	61.39701318	6.040881225	0.71514404	420.2632184	NA
JGK148.CO.Boreal.Toad.South.Cottonwood.Adult	299	54.00826084	4.382729514	0.532919336	80.05625015	NA
JGK190.CO.Boreal.Toad.Buzzard.Adult	438	66.32130227	5.131295946	0.584777261	169.2362971	NA
JGK77.CO.Boreal.Toad.Four.Mile.Adult	587	88.39091094	6.960484254	0.756803334	1054.143907	NA
JGK78.CO.Boreal.Toad.Four.Mile.Adult	650	103.1655551	7.445922548	0.796841476	1712.864763	NA
JGK79.CO.Boreal.Toad.Four.Mile.Adult	500	80.56820344	5.70503013	0.636311331	300.3745302	NA
JGK80.CO.Boreal.Toad.Four.Mile.Adult	714	106.6322475	7.663484538	0.808403183	2129.16367	NA
mck35Pre.1Bubo.2.453083	71	15.38686694	4.28879137	0.697393126	72.87833229	NA
mck36Pre.1Bubo.3.452451	59	22.18115562	3.980459387	0.676644725	53.54162492	NA
mck37Pre.1Bubo.4.452537	121	21.8409014	4.245096354	0.61355402	69.7624817	NA
mck38Pre.1Bubo.5.453032	130	30.3054018	4.830075636	0.687812966	125.2204314	NA
mck39Pre.1Bubo.6.451522	55	14.5722275	3.733123133	0.645717153	41.80948105	NA
mck40Pre.1Bubo.7.453401	66	12.85446007	4.259967027	0.704779825	70.80764867	NA
mck41Pre.1Bubo.8.453509	64	14.84455998	4.383911144	0.730651857	80.15090285	NA
mck42Pre.1Bubo.9.453250	64	14.89418536	3.705031193	0.617505199	40.65131532	NA
mck43Pre.1Bubo.10.453069	75	15.58858731	4.618529717	0.741477629	101.3449168	NA
NA177	263	47.98955112	2.882914744	0.358619703	17.86627296	NA
NA178	215	46.4505885	3.078641431	0.397336707	21.72886217	NA
NA232	307	56.54866132	4.513353963	0.546272349	91.22727886	NA
NA233	220	50.35081773	3.524978337	0.453002877	33.95303809	NA
NA247	125	31.51037017	2.590049432	0.371824525	13.33043054	NA
Ac.95F2	244	42.12790537	3.743614597	0.472038656	42.25043276	NA
Ac.95F6	288	42.87519878	4.158963147	0.50905769	64.00512427	NA
Ac.95F7	127	26.71449113	3.017790167	0.431810892	20.44605935	NA
Ac.95G1	109	21.24229197	3.505442431	0.517929516	33.29617187	NA
Ac.95G2	160	29.57961272	4.396097977	0.600401687	81.13366477	NA
Ac.95G3	107	23.24176854	3.348890339	0.496759881	28.47112283	NA
Ac.95G4	65	14.82345619	3.529488373	0.586063237	34.10651333	NA
Ac.95G7	71	16.42802949	1.977742819	0.321597422	7.226413243	NA
CSA-Acer-014	187	39.36707913	3.593429242	0.476146746	36.35854464	skin
CSA-Acer-034	229	41.41875421	6.07204789	0.774574568	433.5676721	skin
CSA-Acer-058	157	33.75372802	3.71593755	0.509407916	41.09709962	skin
CSA-Acer-068	89	21.91553467	3.61850683	0.55877946	37.28185808	skin
CSA-Acer-070	99	20.50402047	3.424646193	0.516588017	30.71177688	skin
Al.18H5	65	16.51284202	2.68808137	0.446349584	14.70343839	NA
Al.3B1	66	11.66538319	4.467254774	0.739074039	87.11723793	NA
Al.3F2	74	16.36621945	1.692867001	0.27262738	5.435040659	NA
Al.3G1	46	9.659828064	2.918141762	0.528307962	18.50686533	NA
Al.3G11	80	13.72205484	4.564297652	0.721978736	95.99514835	NA
Al.3H3	37	11.09758611	2.226739889	0.427442139	9.269596855	NA
Al.4A10	60	12.06048778	3.121087672	0.528380816	22.67102488	NA
Al.4B7	75	13.08371625	3.963549668	0.636324456	52.64386291	NA
Al.7C8	59	14.87812809	2.400670263	0.408093818	11.03056728	NA
Al.7D11	177	31.2437557	4.183541263	0.56022526	65.59774126	NA
Al.7D12	62	14.1471991	2.609518813	0.438265498	13.59250874	NA
Al.7D7	45	10.55185542	2.093801968	0.381256004	8.115712259	NA
Al.7d9	122	23.01093347	3.5371264	0.510353549	34.36801724	NA
Al.7E3	96	19.98263129	3.31029808	0.502705684	27.39328966	NA
Al.7E6	119	20.51299408	4.771388955	0.69202539	118.0831403	NA
Al.7E7	188	37.79902142	2.918683442	0.386345769	18.51689283	NA
Al.8A6	37	9.27893899	2.756365248	0.529108345	15.74251868	NA
Al.8A7	29	8.551477942	3.067956521	0.631529132	21.49792721	NA
Al.8C9	43	10.18339805	3.199230477	0.589582452	24.51365912	NA
Al.8F4	241	43.65258532	3.726506718	0.470941341	41.53376528	NA
Al.90A4	82	12.97787267	4.112049541	0.646797626	61.07175847	NA
Al.90G2	145	26.27634851	3.512551312	0.489219469	33.53371369	NA
Al.90G3	170	33.73819933	3.865180851	0.521659727	47.71190039	NA
Al.90H10	56	16.54782292	3.215837914	0.553752605	24.92416747	NA
Al.90H5	131	23.09115258	4.523023392	0.643075696	92.11367315	NA
Al.90H7	116	27.32675121	3.120056488	0.45495263	22.64765894	NA
Al.90H9	91	17.83360091	2.925818541	0.449586796	18.64948518	NA
Al.93A1	278	48.59990487	5.632902669	0.693797703	279.4721566	NA
CBR-Alim-39	198	31.169717	6.236542213	0.817440123	511.0882176	skin
RMA-Alim-002	197	36.81410573	5.054159046	0.663096915	156.6727204	skin
RMA-Alim-006	173	31.93339511	4.483406992	0.603043872	88.53580019	skin
RMA-Alim-062	184	33.53238191	5.309016663	0.705652016	202.1513478	skin
RMA-Alim-090	127	24.80758412	4.383734459	0.627261732	80.1367427	skin
Av.A5	98	21.19741416	5.581635472	0.843821665	265.5054777	NA
Av.H12	43	16.25612876	4.654415181	0.857756743	105.0477681	NA
DON-Avar-043	154	32.23044773	4.791131588	0.659319159	120.4375773	skin
DON-Avar-068	144	27.16752596	4.984587037	0.695207695	146.1432108	skin
DON-Avar-069	129	23.74707554	5.096233851	0.726867589	163.4053381	skin
DON-Avar-070	187	32.84964113	5.793444897	0.767659456	328.1414932	skin
DON-Avar-071	133	26.05193046	4.96933253	0.704342112	143.9307859	skin
DON-Avar-072	180	31.16185718	5.905564161	0.78826481	367.0742563	skin
DON-Avar-074	115	28.46677208	4.193491092	0.612591803	66.25368538	skin
DON-Avar-075	75	22.11775666	3.734557396	0.599561102	41.86948986	skin
DON-Avar-077	189	37.03216658	4.209066983	0.556589798	67.29372432	skin
Az.A10	377	63.96870686	6.514038197	0.761126196	674.5448704	NA
Az.A2	371	51.46761299	6.941714899	0.813297122	1034.542831	NA
Az.A3	418	64.29287945	7.246019907	0.832171936	1402.511598	NA
Az.A7	268	46.93235546	5.032302288	0.623883789	153.2855142	NA
Az.A8	316	50.09532814	5.538536355	0.666989715	254.305514	NA
Az.B1	414	67.65536063	6.128463646	0.704948851	458.730846	NA
Az.B11	201	40.82756452	4.697094823	0.613914925	109.62822	NA
Az.B12	236	42.67809778	4.969995799	0.63049865	144.0262823	NA
Az.B8	56	17.54189599	3.138222574	0.540387598	23.06283793	NA
Az.C12	116	22.91007625	6.029808636	0.879239625	415.6354841	NA
Az.C9	171	34.22033731	4.807437851	0.648090245	122.4175634	NA
Az.D11	147	27.91163812	5.039697884	0.699989894	154.4233542	NA
Az.D2	274	44.29247235	5.974592264	0.73778323	393.3077027	NA
Az.D5	320	51.34558868	7.73963725	0.930029335	2297.638762	NA
Az.D6	253	40.77893864	6.832013711	0.855821021	927.0557565	NA
Az.D8	491	73.86644343	6.150900671	0.688052594	469.1397371	NA
Az.E5	671	93.44390666	8.36026528	0.890321071	4273.828376	NA
Az.E6	206	35.80748808	4.659294004	0.606165834	105.5615299	NA
Az.E7	307	47.96371015	5.640530521	0.682699803	281.6120799	NA
Az.F10	166	29.62534555	5.039564236	0.68332709	154.4027172	NA
Az.F9	453	66.00266636	7.099248424	0.804596276	1211.056532	NA
Az.G11	324	50.41251441	5.173280036	0.620308523	176.4927918	NA
Az.G4	167	35.92678981	5.734539923	0.776648102	309.3706036	NA
Az.G9	66	15.97896089	4.279956487	0.708086932	72.23729665	NA
Az.H10	277	49.41842674	4.93366721	0.608063099	138.8879107	NA
Az.H11	101	24.25323874	2.876829244	0.432072374	17.75787793	NA
Az.H2	77	15.76050092	5.399141057	0.861548582	221.2163223	NA
Az.H3	121	22.10089926	4.816553908	0.696148159	123.5386309	NA
PGFC.1	53	16.66615359	2.639739578	0.46085479	14.00955473	NA
PGFC.10	91	22.90354409	3.820366459	0.587044716	45.62092346	NA
PGFC.2	152	28.69450334	4.021347675	0.554827248	55.77622341	NA
PGFC.3	76	18.8303002	4.117952008	0.659090874	61.43329846	NA
PGFC.4	221	38.92601886	5.360638951	0.68832897	212.8609107	NA
PGFC.5	53	14.80189111	2.748010804	0.479757152	15.61154656	NA
PGFC.6	204	39.6155882	4.664227464	0.607920867	106.0836001	NA
PGFC.7	156	27.40177213	3.951995743	0.542454023	52.03911997	NA
PGFC.8	111	27.22844297	3.515243281	0.517372406	33.62410704	NA
PGFC.9	140	33.21897414	3.853716959	0.540547619	47.16805954	NA
Micro-10	545	40.77127393	7.198465671	0.791900621	1337.377213	river
Micro-22	640	41.06652473	7.776182422	0.834181764	2383.159536	river
Micro-23	248	26.42493252	3.836146564	0.482279594	46.3465365	river
Micro-4	377	32.27410212	5.314584793	0.620977277	203.2800923	river
Micro-41	322	30.53316664	4.496344389	0.539717831	89.68866444	river
Micro-42	517	37.39768834	6.130209367	0.680074933	459.5323613	river
Micro-49	334	29.78725607	4.422015243	0.527453628	83.26391342	river
Micro-5	146	19.11914695	3.125438621	0.434703044	22.76988026	river
Micro-50	600	43.26535125	7.133666953	0.772977257	1253.464946	river
Micro-51	666	46.3191934	7.278211163	0.775980121	1448.394764	river
Micro-52	180	20.10038617	2.955796263	0.394534733	19.21701843	river
Micro-53	378	31.92690731	4.750294854	0.55479565	115.6183701	river
Micro-54	545	40.99696932	7.595330387	0.835559566	1988.886846	river
Micro-55	777	48.03949621	8.542159534	0.889644184	5126.403061	river
Micro-57	336	32.72541013	6.656156902	0.793125017	777.5569604	tank
Micro-58	451	39.478859	7.199921961	0.816596953	1339.326241	tank
Micro-59	417	36.74238365	7.13289307	0.819505066	1252.495287	tank
Micro-60	406	37.14028218	7.146194482	0.824687531	1269.266536	tank
Micro-61	351	32.93067744	6.706874838	0.793212925	818.0102266	tank
Micro-62	409	39.08572635	7.131847476	0.822024296	1251.18637	tank
Micro-63	189	24.6522116	2.803075305	0.370667211	16.49529692	tank
Micro-64	393	37.61238917	6.806250325	0.78973612	903.4767034	tank
Micro-65	314	30.31956276	6.732219292	0.811636782	839.007203	tank
Micro-66	485	39.92902269	7.4235742	0.832067535	1675.009641	tank
Micro-67	218	24.19649013	5.148503089	0.662767884	172.1735688	tank
Micro-68	156	19.70681599	3.447284208	0.473176924	31.41495987	tank
Micro-69	163	20.3001801	2.637114471	0.358853181	13.97282638	tank
Micro-7	168	20.83764355	3.278729221	0.443531985	26.5420222	river
Micro-70	267	28.84165557	4.907702575	0.608843531	135.3281507	tank
Micro-71	142	20.26849475	1.638195923	0.229126415	5.145877573	tank
Micro-72	266	28.1537213	4.752176374	0.589945345	115.8361131	tank
Micro-73	464	40.87910932	6.786250676	0.766117096	885.5869771	display
Micro-74	432	39.03035992	6.327043912	0.72268706	559.500215	display
Micro-75	313	30.00914046	6.411399397	0.773387795	608.7449611	display
Micro-76	172	22.9881038	6.52025888	0.877999788	678.7540783	display
Micro-8	139	16.66089879	3.104212609	0.436049769	22.29165981	river
Micro-9	396	33.58875822	6.837543431	0.792358426	932.1963149	river
AH-007	111	26.43398141	3.580809672	0.527022447	35.90259843	skin
AH-008	502	69.01788404	6.43864881	0.717674586	625.5609766	skin
AH-009	121	26.28163833	3.342050528	0.483034628	28.27705017	skin
AH-017	162	32.06234898	3.691306874	0.502913121	40.09721473	skin
AH-018	79	20.61037674	2.975860229	0.472075465	19.60648207	skin
AH-029	96	20.99337176	2.70566902	0.410886018	14.96432477	skin
AH-030	242	36.87660843	3.747754128	0.473269207	42.42569225	skin
AH-033	194	36.59172771	3.203224609	0.421481756	24.61176569	skin
AH-034	324	49.33057543	5.695388965	0.682912638	297.4924851	skin
AH-035	121	24.89192713	3.495564553	0.50522238	32.9688954	skin
AH-037	136	25.78026303	3.964820233	0.559413195	52.7107929	skin
AH-040	132	30.504352	3.576881307	0.507762804	35.76183657	skin
AH-041	205	38.02878644	3.87157298	0.504145193	48.01785784	skin
AH-043	204	38.92816851	4.393658223	0.572655715	80.93595983	skin
AH-044	186	33.01104488	3.398258188	0.450747659	29.91195363	skin
AH-070	88	21.47939676	3.570782247	0.552801308	35.54438679	skin
AH-071	127	28.23688794	3.892355494	0.556951081	49.02623159	skin
AH-072	175	35.09385427	4.537772196	0.608997937	93.48230774	skin
AH-073	97	21.01345241	3.634183228	0.550641094	37.87090835	skin
AH-145	111	23.20334273	4.485395031	0.660159036	88.71198784	skin
AH-146	118	24.80825349	4.032972184	0.585962712	56.42837779	skin
AH-182	47	16.11758583	3.432558602	0.617968079	30.95574496	skin
AH-183	33	12.49751318	3.114509313	0.6174199	22.52237619	skin
AH-184	48	15.66165793	3.167662326	0.567177009	23.75189521	skin
AH-185	55	18.49068836	3.477918863	0.601574549	32.39223919	skin
AH-186	45	16.25230442	3.11246888	0.566742924	22.47646765	skin
AH-187	51	15.83372056	3.067273843	0.540734105	21.48325604	skin
AH-224	26	10.9718217	2.62463558	0.558380862	13.79954444	skin
AH-225	21	10.02401034	2.441894017	0.555946618	11.49479147	skin
AH-226	30	11.79435715	2.592655224	0.528370294	13.36521217	skin
AH-227	30	11.58811724	2.184235074	0.44513629	8.883850462	skin
AH-228	28	10.65962816	2.433753806	0.506256319	11.40160125	skin
AH-237	54	15.16560222	3.697421794	0.642483766	40.34315718	skin
AH-257	58	15.45897175	3.461637017	0.590926638	31.86910411	skin
AH-258	60	13.05010927	2.773267887	0.46949708	16.01087032	skin
AH-259	49	14.10416639	3.219143352	0.573340999	25.00668906	skin
AH-260	55	13.75022064	2.584702292	0.447075155	13.25934109	skin
AH-262	59	16.60342763	2.940317974	0.499829405	18.92186202	skin
AH-263	38	10.99929996	2.223048688	0.423605067	9.235443975	skin
AH-264	147	28.85351834	3.957273989	0.5496464	52.31452143	skin
AH-266	51	16.75970591	3.272157808	0.576853394	26.36817547	skin
AH-267	55	16.70602685	2.525141541	0.436772951	12.49266336	skin
AH-269	26	11.88200295	1.709915866	0.363777852	5.528496324	skin
AH-270	101	26.15235152	3.591332399	0.539383948	36.28238635	skin
AH-271	47	16.81872979	3.277791124	0.590105085	26.5171349	skin
AH-272	NA	NA	NA	NA	NA	skin
AH-280	65	17.14064874	3.470096755	0.576201398	32.139852	skin
AH-281	102	25.39726073	3.762444673	0.563879621	43.05354927	skin
AH-282	85	23.41966105	4.14806969	0.647186251	63.31167109	skin
AH-289	129	27.95316547	4.448524343	0.63448583	85.50068122	skin
AH-290	52	15.04377424	3.281132673	0.575592908	26.60589143	skin
AH-292	31	10.91819147	3.059410235	0.617539161	21.31498263	skin
HL21.Hylomantis.lemur.Costa.Rica.wild	85	19.72637097	4.327361764	0.675159591	75.74419167	dry swab
HL24.Hylomantis.lemur.Costa.Rica.wild	90	21.92532857	4.536341264	0.698774479	93.3486365	dry swab
HL27.Hylomantis.lemur.Costa.Rica.wild	99	22.31052934	4.176875683	0.630057473	65.16194826	dry swab
HL30.Hylomantis.lemur.Costa.Rica.wild	70	18.89993358	3.127048473	0.510181772	22.8065659	dry swab
HL32.Hylomantis.lemur.Costa.Rica.wild	26	12.12996051	1.234975004	0.262736058	3.438292577	dry swab
HL1.Hylomantis.lemur.Costa.Rica.captive	38	11.25608003	2.983382225	0.568487697	19.754518	swab in 70% ethanol
HL11.Hylomantis.lemur.Costa.Rica.captive	46	14.50711614	3.185677158	0.576743265	24.18365903	swab in 70% ethanol
HL13.Hylomantis.lemur.Costa.Rica.captive	126	28.72157137	5.013948311	0.718610743	150.4977767	swab in 70% ethanol
HL15.Hylomantis.lemur.Costa.Rica.captive	170	32.48422381	4.770930865	0.643903245	118.02906	swab in 70% ethanol
HL17.Hylomantis.lemur.Costa.Rica.captive	161	32.22421146	4.937485266	0.67351538	139.4192061	swab in 70% ethanol
HL3.Hylomantis.lemur.Costa.Rica.captive	225	43.18381182	6.27629868	0.803234507	531.816593	swab in 70% ethanol
HL5.Hylomantis.lemur.Costa.Rica.captive	81	19.46227188	3.278115746	0.51706519	26.52574434	swab in 70% ethanol
HL7.Hylomantis.lemur.Costa.Rica.captive	108	23.40486857	4.835487152	0.715850138	125.8999007	swab in 70% ethanol
HL9.Hylomantis.lemur.Costa.Rica.captive	75	18.58843022	3.62359759	0.581747161	37.472135	swab in 70% ethanol
ZA1.Hylomantis.lemur.Atlanta.Zoo.captive	202	43.03238462	4.844758314	0.632622685	127.0725666	dry swab
ZA12.Hylomantis.lemur.Atlanta.Zoo.captive	171	35.18531881	4.651054505	0.62700822	104.6953291	dry swab
ZA39.Hylomantis.lemur.Atlanta.Zoo.captive	26	13.13916629	2.435087775	0.518055314	11.41682078	dry swab
ZA53.Hylomantis.lemur.Atlanta.Zoo.captive	63	17.69085396	2.497741599	0.417872616	12.15501205	dry swab
ZA6.Hylomantis.lemur.Atlanta.Zoo.captive	63	16.79101424	2.542798395	0.425410626	12.71520339	dry swab
ZA66.Hylomantis.lemur.Atlanta.Zoo.captive	306	55.32867274	5.092809415	0.616757928	162.846724	dry swab
ZA67.Hylomantis.lemur.Atlanta.Zoo.captive	120	31.68399447	3.677569336	0.53244934	39.55014404	dry swab
ZA7.Hylomantis.lemur.Atlanta.Zoo.captive	172	41.31416506	4.58735114	0.617719849	98.23387743	dry swab
bullfrog.NA.150708.10	182	38.71387726	5.134736423	0.683920734	169.8195534	NA
bullfrog.NA.150708.12	200	40.90899933	4.508804367	0.589859916	90.81317433	NA
bullfrog.NA.150708.14	232	48.25556093	5.457962763	0.694575714	234.6189627	NA
bullfrog.NA.150708.15	458	70.57673543	6.961027533	0.787517485	1054.716757	NA
bullfrog.NA.150708.16	485	74.35251027	7.758594575	0.869618124	2341.611333	NA
bullfrog.NA.150708.17	192	41.31385042	3.440828064	0.453638111	31.21279366	NA
bullfrog.NA.150708.7	358	59.6682491	6.269018949	0.738938599	527.9591686	NA
bullfrog.NA.150708.8	328	59.29874581	5.330812078	0.637843722	206.6056859	NA
Bullfrog.NA.20.6.2015.2	363	64.40354549	4.844771461	0.569716691	127.0742373	NA
bullfrog.NA.20.6.2015.4	632	92.38068093	8.091422196	0.86969184	3266.329628	NA
bullfrog.NA.20.6.2015.5	421	67.76757308	7.63795551	0.876145792	2075.496144	NA
bullfrog.NA.20.6.2015.6	152	30.02072488	4.05471655	0.559431167	57.66881444	NA
bullfrog.NA.20.6.2015.7	306	56.43136224	6.012856886	0.728179056	408.6491181	NA
Japan2015-89	NA	NA	NA	NA	NA	NA
Japan2015-90	NA	NA	NA	NA	NA	NA
Japan2015-91	NA	NA	NA	NA	NA	NA
Japan2015-92	NA	NA	NA	NA	NA	NA
Japan2015-93	191	36.16350219	4.842099776	0.6390162	126.7351881	NA
Japan2015-94	270	50.68335125	4.948472208	0.612676141	140.9594427	NA
Lithobates.catesbeiana.Adult.1.Coot.Skin.side.1.HOP.51	153	35.64494609	5.892837155	0.811977709	362.432103	NA
Lithobates.catesbeiana.Adult.1.Coot.Skin.side.2.HOP.52	256	47.73523746	6.625409647	0.828176206	754.0130281	NA
Lithobates.catesbeiana.Adult.1.HOP.53	153	33.78611359	5.082669315	0.700344177	161.2037858	NA
Lithobates.catesbeiana.Adult.1.HOP.54	204	49.03481112	4.765993569	0.621184744	117.4477518	NA
Lithobates.catesbeiana.Adult.1.HOP.65	175	33.22375047	5.343540052	0.717137117	209.2521641	NA
Lithobates.catesbeiana.Adult.2.HOP.59	137	32.15082156	2.35921916	0.332376514	10.58268484	NA
Lithobates.catesbeiana.Adult.2.HOP.60	114	26.15193755	3.657392183	0.53526285	38.76013163	NA
Lithobates.catesbeiana.Adult.2.HOP.63	204	33.65930236	5.249065192	0.684146793	190.3882088	NA
Lithobates.catesbeiana.Adult.3.Coot.Skin.side.1.HOP.57	312	56.40502338	5.218680994	0.629864532	184.6904156	NA
Lithobates.catesbeiana.Adult.3.Coot.Skin.side.2.HOP.58	277	47.0725432	5.112408791	0.630092587	166.0699012	NA
Lithobates.catesbeiana.Adult.3.HOP.55	304	48.35231254	5.37179254	0.651289979	215.2483633	NA
Lithobates.catesbeiana.Adult.3.HOP.64	77	21.1892948	2.548561254	0.406677527	12.78869086	NA
Lithobates.catesbeianus.NA.BF1	115	27.7936395	3.4753974	0.507691542	32.31066625	NA
Lithobates.catesbeianus.NA.BF10	410	65.14921258	6.674574197	0.769006222	792.0101415	NA
Lithobates.catesbeianus.NA.BF11	135	33.20352056	2.995010094	0.423214376	19.98556163	NA
Lithobates.catesbeianus.NA.BF12	46	13.16437599	1.427589266	0.258454468	4.168637592	NA
Lithobates.catesbeianus.NA.BF13	15	6.803396771	0.583747095	0.149414753	1.79274344	NA
Lithobates.catesbeianus.NA.BF14	206	40.61566754	4.238016085	0.551358329	69.27028907	NA
Lithobates.catesbeianus.NA.BF15	103	24.41760413	2.413389341	0.360934592	11.17176196	NA
Lithobates.catesbeianus.NA.BF16	33	13.02936612	2.029514979	0.402330772	7.61039426	NA
Lithobates.catesbeianus.NA.BF17	100	23.64500488	2.539175615	0.382184012	12.66922235	NA
Lithobates.catesbeianus.NA.BF18	352	53.85454606	5.957111993	0.704197665	386.4923183	NA
Lithobates.catesbeianus.NA.BF19	54	13.58211949	1.55671202	0.270502598	4.743200031	NA
Lithobates.catesbeianus.NA.BF2	246	40.06717799	4.97724534	0.62665864	145.0742006	NA
Lithobates.catesbeianus.NA.BF20	52	12.18510445	3.016512223	0.529171848	20.41994712	NA
Lithobates.catesbeianus.NA.BF21	51	15.95131494	1.913461017	0.337326787	6.776501845	NA
Lithobates.catesbeianus.NA.BF3	110	25.18637068	4.690435596	0.691665948	108.9006062	NA
Lithobates.catesbeianus.NA.BF4	267	46.41606446	5.968074	0.740391903	390.7523565	NA
Lithobates.catesbeianus.NA.BF5	128	27.12433739	4.613730325	0.659104332	100.8596881	NA
Lithobates.catesbeianus.NA.BF6	132	25.87157711	3.677619487	0.522063278	39.55212757	NA
Lithobates.catesbeianus.NA.BF7	NA	NA	NA	NA	NA	NA
Lithobates.catesbeianus.NA.BF8	99	22.20001538	3.31226593	0.499636106	27.44724861	NA
Lithobates.catesbeianus.NA.BF9	233	45.42975667	5.341895803	0.679268739	208.9083843	NA
mck10Pre.1Raca.10.453553	54	20.84285007	2.744482873	0.476896007	15.55656713	NA
mck2Pre.1Raca.2.453462	92	28.56104294	3.049438051	0.467449849	21.103482	NA
mck3Pre.1Raca.3.452124	62	15.43708727	3.132525474	0.526103828	22.93182019	NA
mck4Pre.1Raca.4.453052	99	28.14726865	3.678134627	0.554825278	39.57250768	NA
mck5Pre.1Raca.5.452683	77	24.00704588	4.09168147	0.652915405	59.84042702	NA
mck6Pre.1Raca.6.451259	82	26.30823117	4.13515021	0.650431205	62.49897834	NA
mck7Pre.1Raca.7.451562	53	14.26642891	3.224404781	0.562927647	25.13860673	NA
mck8Pre.1Raca.8.452878	44	11.50773295	2.25017587	0.412163029	9.489404593	NA
mck9Pre.1Raca.9.451044	87	19.6248824	3.594795356	0.557943021	36.40824849	NA
MVB2015-952	NA	NA	NA	NA	NA	NA
MVB2015-956	NA	NA	NA	NA	NA	NA
MVB2015-960	NA	NA	NA	NA	NA	NA
MVB2015-963	NA	NA	NA	NA	NA	NA
J2.40	252	47.3950675	4.904786917	0.614844529	134.9341547	NA
J2.41	253	48.20960414	2.590468188	0.324498343	13.3360139	NA
J2.42	144	30.01924793	5.049227209	0.704223156	155.9019384	NA
J2.43	281	48.66286647	5.533681963	0.680279315	253.0740067	NA
J2.44	23	10.76085149	2.288695071	0.505949757	9.862059994	NA
J2.50	181	39.28961948	4.384656285	0.584632851	80.21064888	NA
Mantella.aurantiaca.10.023.1267819	133	34.48094103	3.43545471	0.48693369	31.04552608	NA
Mantella.aurantiaca.10.024.1267676	110	22.41634865	3.763822844	0.555024804	43.11292532	NA
Mantella.aurantiaca.10.025.1267610	329	53.77912654	5.838865512	0.698266536	343.3895484	NA
Mantella.aurantiaca.10.026.1267722	358	53.13364182	6.807393616	0.802397623	904.5102313	NA
Mantella.aurantiaca.10.028.1267789	198	40.40903104	4.151635705	0.544165899	63.53784453	NA
